Unnamed: 0,status,founded_at,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,active_days,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_BRA,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_IRL,country_code_ISR,country_code_NLD,country_code_USA,country_code_other
154,1,1971,5.0,125371133.0,3.0,23.0,40.7127753,-74.0059728,1,5840.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,1,2007,5.0,125371133.0,1.0,2.0,26.3683064,-80.1289321,1,8030.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
162,1,1979,5.0,125371133.0,1.0,4.0,54.978252000000005,-1.61778,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
166,1,2008,5.0,125371133.0,1.0,3.0,51.5073509,-0.1277583,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
173,1,2011,5.0,125371133.0,1.0,2.0,37.3860517,-122.0838511,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
175,1,2011,5.0,125371133.0,1.0,3.0,40.2968979,-111.69464750000002,1,19710.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
180,1,2011,5.0,125371133.0,1.0,3.0,27.950575,-82.4571776,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,1,2001,5.0,125371133.0,1.0,1.0,32.7766642,-96.7969879,1,5840.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,2,2011,5.0,125371133.0,1.0,2.0,1.352083,103.819836,0,4745.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
196,1,2008,5.0,125371133.0,3.0,4.0,37.4418834,-122.1430195,1,9125.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201,1,2008,5.0,125371133.0,1.0,1.0,39.9525839,-75.1652215,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
203,1,2010,5.0,125371133.0,2.0,2.0,27.950575,-82.4571776,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
205,1,2010,5.0,125371133.0,1.0,1.0,38.3408299,-122.31972,1,6570.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
206,1,2007,5.0,125371133.0,3.0,2.0,37.7749295,-122.4194155,1,9125.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
207,1,2001,5.0,125371133.0,1.0,9.0,37.7749295,-122.4194155,1,8030.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
216,3,2008,5.0,125371133.0,1.0,1.0,42.3317642,-71.1211635,0,7300.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
223,1,2008,5.0,125371133.0,1.0,4.0,12.9715987,77.5945627,1,5840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
